timestamp_utc,N_obs,trial,role,client_index,t_send_ns,t_recv_ns,latency_ms,status
2026-02-12T05:50:18.165183+00:00,1,27,controller,0,4697184138293583,4697184138391506,0.097923,ok
2026-02-12T05:50:18.165183+00:00,1,27,observer,1,4697184138293583,4697184138407771,0.114188,ok
2026-02-12T05:50:18.165352+00:00,1,28,controller,0,4697184138461236,4697184138559478,0.098242,ok
2026-02-12T05:50:18.165352+00:00,1,28,observer,1,4697184138461236,4697184138576663,0.115427,ok
2026-02-12T05:50:18.165521+00:00,1,29,controller,0,4697184138630459,4697184138729905,0.099446,ok
2026-02-12T05:50:18.165521+00:00,1,29,observer,1,4697184138630459,4697184138746029,0.11557,ok
2026-02-12T05:50:18.165687+00:00,1,30,controller,0,4697184138799536,4697184138895350,0.095814,ok
2026-02-12T05:50:18.165687+00:00,1,30,observer,1,4697184138799536,4697184138911543,0.112007,ok
2026-02-12T05:50:18.165868+00:00,1,31,controller,0,4697184138964889,4697184139076123,0.111234,ok
2026-02-12T05:50:18.165868+00:00,1,31,observer,1,4697184138964889,4697184139092866,0.127977,ok
2026-02-12T05:50:18.166034+00:00,1,32,controller,0,4697184139147708,4697184139242226,0.094518,ok
2026-02-12T05:50:18.166034+00:00,1,32,observer,1,4697184139147708,4697184139258552,0.110844,ok
2026-02-12T05:50:18.166198+00:00,1,33,controller,0,4697184139314337,4697184139406423,0.092086,ok
2026-02-12T05:50:18.166198+00:00,1,33,observer,1,4697184139314337,4697184139422690,0.108353,ok
2026-02-12T05:50:18.166369+00:00,1,34,controller,0,4697184139476458,4697184139577670,0.101212,ok
2026-02-12T05:50:18.166369+00:00,1,34,observer,1,4697184139476458,4697184139593939,0.117481,ok
2026-02-12T05:50:18.166537+00:00,1,35,controller,0,4697184139647482,4697184139745529,0.098047,ok
2026-02-12T05:50:18.166537+00:00,1,35,observer,1,4697184139647482,4697184139761547,0.114065,ok
2026-02-12T05:50:18.166702+00:00,1,36,controller,0,4697184139815315,4697184139910209,0.094894,ok
2026-02-12T05:50:18.166702+00:00,1,36,observer,1,4697184139815315,4697184139926440,0.111125,ok
2026-02-12T05:50:18.166890+00:00,1,37,controller,0,4697184139980390,4697184140098839,0.118449,ok
2026-02-12T05:50:18.166890+00:00,1,37,observer,1,4697184139980390,4697184140114896,0.134506,ok
2026-02-12T05:50:18.167059+00:00,1,38,controller,0,4697184140169533,4697184140267212,0.097679,ok
2026-02-12T05:50:18.167059+00:00,1,38,observer,1,4697184140169533,4697184140283468,0.113935,ok
2026-02-12T05:50:18.167223+00:00,1,39,controller,0,4697184140337567,4697184140432068,0.094501,ok
2026-02-12T05:50:18.167223+00:00,1,39,observer,1,4697184140337567,4697184140448326,0.110759,ok
2026-02-12T05:50:18.167388+00:00,1,40,controller,0,4697184140501990,4697184140597007,0.095017,ok
2026-02-12T05:50:18.167388+00:00,1,40,observer,1,4697184140501990,4697184140613062,0.111072,ok
2026-02-12T05:50:18.167553+00:00,1,41,controller,0,4697184140667642,4697184140761791,0.094149,ok
2026-02-12T05:50:18.167553+00:00,1,41,observer,1,4697184140667642,4697184140778177,0.110535,ok
2026-02-12T05:50:18.167717+00:00,1,42,controller,0,4697184140831928,4697184140925938,0.09401,ok
2026-02-12T05:50:18.167717+00:00,1,42,observer,1,4697184140831928,4697184140942133,0.110205,ok
2026-02-12T05:50:18.167932+00:00,1,43,controller,0,4697184141038399,4697184141140466,0.102067,ok
2026-02-12T05:50:18.167932+00:00,1,43,observer,1,4697184141038399,4697184141157021,0.118622,ok
2026-02-12T05:50:18.168119+00:00,1,44,controller,0,4697184141212599,4697184141329190,0.116591,ok
2026-02-12T05:50:18.168119+00:00,1,44,observer,1,4697184141212599,4697184141341331,0.128732,ok
2026-02-12T05:50:18.168261+00:00,1,45,controller,0,4697184141403118,4697184141479840,0.076722,ok
2026-02-12T05:50:18.168261+00:00,1,45,observer,1,4697184141403118,4697184141488437,0.085319,ok
2026-02-12T05:50:18.168372+00:00,1,46,controller,0,4697184141517627,4697184141590749,0.073122,ok
2026-02-12T05:50:18.168372+00:00,1,46,observer,1,4697184141517627,4697184141599131,0.081504,ok
2026-02-12T05:50:18.168477+00:00,1,47,controller,0,4697184141625724,4697184141696094,0.07037,ok
2026-02-12T05:50:18.168477+00:00,1,47,observer,1,4697184141625724,4697184141704303,0.078579,ok
2026-02-12T05:50:18.168582+00:00,1,48,controller,0,4697184141730661,4697184141801858,0.071197,ok
2026-02-12T05:50:18.168582+00:00,1,48,observer,1,4697184141730661,4697184141810044,0.079383,ok
2026-02-12T05:50:18.168688+00:00,1,49,controller,0,4697184141835662,4697184141907302,0.07164,ok
2026-02-12T05:50:18.168688+00:00,1,49,observer,1,4697184141835662,4697184141915154,0.079492,ok
